Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,441.956,-463.6435,0.953223759202922,8.58,2.81,5.77,0.4870017331022531,9.78,4.84,96.99654811715484,Normal
2,100.0,441.794,-465.8085,0.9484455521958058,8.58,2.81,5.77,0.4870017331022531,9.85,4.84,96.04298969072164,Normal
3,100.0,441.3,-463.188,0.9527448897639836,8.57,2.8,5.77,0.4852686308492201,9.72,5.1,98.1330508474576,Normal
4,100.0,441.3435,-464.2565,0.9506458175599048,8.57,2.8,5.77,0.4852686308492201,9.72,5.49,98.35942796610168,Normal
5,100.0,441.9105,-464.595,0.9511736028153552,8.57,2.81,5.76,0.4878472222222222,9.72,4.84,98.4311440677966,Normal
6,100.0,441.496,-462.672,0.9542310751461076,8.58,2.81,5.77,0.4870017331022531,9.72,4.84,98.02372881355932,Normal
7,100.0,441.822,-466.5135,0.9470722712204468,8.58,2.81,5.77,0.4870017331022531,9.78,4.84,97.59696652719668,Normal
8,100.0,441.2615,-465.622,0.94768181056737,8.57,2.8,5.77,0.4852686308492201,9.78,5.1,97.41046025104605,Normal
9,100.0,439.745,-463.748,0.9482412862157896,8.57,2.8,5.77,0.4852686308492201,9.78,5.42,97.018410041841,Normal
10,100.0,441.763,-464.25,0.9515627355950456,8.57,2.81,5.76,0.4878472222222222,9.78,4.84,97.12343096234312,Normal
11,100.0,441.899,-464.7695,0.9507917365489776,8.58,2.81,5.77,0.4870017331022531,9.78,4.9,97.23211297071131,Normal
12,100.0,441.8825,-464.7365,0.9508237463594962,8.58,2.81,5.77,0.4870017331022531,9.78,4.84,97.22520920502092,Normal
13,100.0,440.8495,-464.1005,0.9499009374047216,8.57,2.8,5.77,0.4852686308492201,9.78,5.1,97.0921548117155,Normal
14,100.0,440.7575,-465.5755,0.9466939304151528,8.57,2.8,5.77,0.4852686308492201,9.85,5.49,95.99494845360825,Normal
15,100.0,441.408,-465.366,0.9485179407176288,8.57,2.81,5.76,0.4878472222222222,9.92,4.84,94.58658536585364,Normal
16,100.0,441.668,-464.6165,0.950607651686929,8.58,2.81,5.77,0.4870017331022531,9.85,4.84,95.79721649484536,Normal
17,100.0,441.427,-461.63,0.9562355132898642,8.58,2.81,5.77,0.4870017331022531,9.78,4.84,96.5753138075314,Normal
18,100.0,440.8835,-464.139,0.9498953977149088,8.57,2.8,5.77,0.4852686308492201,9.78,5.1,97.10020920502092,Normal
19,100.0,440.362,-460.9845,0.955264222549782,8.57,2.8,5.77,0.4852686308492201,9.78,5.29,96.44027196652722,Normal
