Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,100.0,411.5235,-429.4615,0.9582314130603092,8.58,2.81,5.77,0.4870017331022531,12.97,-61.02,4.84,53.88475533249686,Normal
2,100.0,412.495,-428.757,0.9620717562628716,8.57,2.81,5.76,0.4878472222222222,12.97,-61.29,4.84,53.79636135508155,Normal
3,100.0,411.7275,-426.825,0.96462836056932,8.58,2.81,5.77,0.4870017331022531,12.97,-60.88,4.84,53.55395232120451,Normal
4,100.0,410.9925,-428.99,0.9580468076178932,8.57,2.8,5.77,0.4852686308492201,13.04,-61.45,4.84,53.35696517412936,Normal
5,100.0,410.639,-427.2475,0.9611267473771058,8.57,2.81,5.76,0.4878472222222222,13.04,-61.02,4.84,53.140236318407965,Normal
6,100.0,412.123,-429.3515,0.9598732041229622,8.58,2.81,5.77,0.4870017331022531,13.04,-61.78,4.84,53.40192786069653,Normal
7,100.0,410.7,-426.0105,0.964060744981638,8.57,2.81,5.76,0.4878472222222222,13.04,-61.37,4.84,52.98638059701493,Normal
8,100.0,411.5575,-427.53,0.9626400486515568,8.58,2.81,5.77,0.4870017331022531,12.97,-60.83,4.84,53.64240903387703,Normal
9,100.0,412.5565,-429.405,0.960763149008512,8.57,2.81,5.76,0.4878472222222222,13.04,-61.24,4.84,53.40858208955224,Normal
10,100.0,411.948,-356.027,1.157069548096071,8.57,2.81,5.76,0.4878472222222222,13.04,-61.37,4.84,44.28196517412936,Bronch
11,100.0,408.004,-299.969,1.3601538825678654,8.58,2.81,5.77,0.4870017331022531,11.09,-44.74,4.06,49.2559934318555,Bronch
12,100.0,410.8635,-411.064,0.9995122414027984,8.57,2.81,5.76,0.4878472222222222,14.41,-57.25,4.84,43.68374070138151,Bronch
13,100.0,407.187,-329.1985,1.2369041778744434,8.58,2.81,5.77,0.4870017331022531,14.41,-57.68,4.9,34.98390010626993,Bronch
14,100.0,411.9935,-111.807,3.684863201767331,8.57,2.8,5.77,0.4852686308492201,11.41,-32.69,3.93,17.442589703588144,Bronch
15,100.0,412.594,-43.042,9.58584638260304,8.57,2.81,5.76,0.4878472222222222,11.41,-33.92,4.45,6.714820592823713,Bronch
16,100.0,410.8235,-145.968,2.814476460594104,8.58,2.81,5.77,0.4870017331022531,11.61,-35.84,5.36,22.08290468986384,Bronch
17,100.0,413.1715,-11.137,37.09899434318039,8.57,2.81,5.76,0.4878472222222222,12.19,-31.93,4.32,1.5489568845618915,Bronch
18,100.0,412.6305,-116.604,3.5387336626530823,8.58,2.81,5.77,0.4870017331022531,13.43,-49.76,5.49,13.83202846975089,Bronch
19,100.0,412.975,107.741,-3.8330347778468736,8.57,2.81,5.76,0.4878472222222222,11.15,-25.53,5.36,-17.518861788617887,Bronch
20,100.0,412.9565,-406.2865,1.0164169865353636,8.58,2.81,5.77,0.4870017331022531,12.65,-50.57,5.16,53.10934640522876,Bronch
