Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,F_min,PEEP,Dy_comp,Label
1,100.0,231.3735,-228.9775,1.0104639102095183,8.58,2.76,5.82,0.4742268041237112,10.31,-57.33,4.71,43.12193973634651,Normal
2,100.0,231.063,-250.623,0.9219544894123844,8.58,2.75,5.83,0.4716981132075472,10.5,-58.93,4.9,45.56781818181818,Normal
3,100.0,231.425,-229.0,1.0105895196506551,8.57,2.75,5.82,0.4725085910652921,10.31,-57.52,4.71,43.1261770244821,Normal
4,100.0,231.1165,-250.666,0.9220097659834202,8.57,2.75,5.82,0.4725085910652921,10.5,-59.28,4.9,45.57563636363636,Normal
5,100.0,231.272,-240.403,0.9620179448675764,8.57,2.76,5.81,0.4750430292598967,10.31,-57.57,4.71,45.27363465160074,Normal
6,100.0,231.043,-241.793,0.9555404829751069,8.58,2.76,5.82,0.4742268041237112,10.31,-57.41,4.71,45.535404896421845,Normal
7,100.0,230.831,-248.9185,0.9273356540393743,8.58,2.75,5.83,0.4716981132075472,10.37,-57.9,4.71,46.35353817504656,Normal
8,100.0,231.332,-243.9095,0.9484337428431446,8.57,2.75,5.82,0.4725085910652921,10.44,-58.44,4.71,44.83630514705883,Normal
9,100.0,231.0215,-236.0695,0.978616466760848,8.57,2.75,5.82,0.4725085910652921,10.44,-57.46,4.71,43.39512867647059,Normal
10,100.0,231.357,-234.8105,0.9852923953571072,8.57,2.76,5.81,0.4750430292598967,10.24,-56.49,4.71,44.8111641221374,Normal
11,100.0,231.119,-239.745,0.9640201046945712,8.58,2.76,5.82,0.4742268041237112,10.37,-57.9,4.71,44.64525139664805,Normal
12,100.0,230.8525,-240.466,0.9600213751632248,8.58,2.75,5.83,0.4716981132075472,10.44,-57.55,4.64,44.20330882352942,Normal
13,100.0,231.1385,-244.4815,0.9454232733356102,8.57,2.75,5.82,0.4725085910652921,10.44,-58.12,4.71,44.94145220588236,Normal
14,100.0,231.091,-241.6815,0.9561799310249234,8.57,2.75,5.82,0.4725085910652921,10.44,-58.14,4.71,44.42674632352941,Normal
15,100.0,231.452,-242.8415,0.9530990378497908,8.57,2.76,5.81,0.4750430292598967,10.44,-57.76,4.77,44.63998161764706,Normal
16,100.0,231.3145,-241.0875,0.9594628506247732,8.58,2.76,5.82,0.4742268041237112,10.44,-57.38,4.77,44.317555147058826,Normal
17,100.0,230.8325,-244.2455,0.9450839421811252,8.58,2.75,5.83,0.4716981132075472,10.5,-57.84,4.77,44.40827272727272,Normal
18,100.0,231.402,-242.4945,0.9542566944817306,8.57,2.75,5.82,0.4725085910652921,10.5,-58.47,4.77,44.08990909090909,Normal
19,100.0,230.8365,-244.643,0.9435647044877638,8.57,2.75,5.82,0.4725085910652921,10.5,-57.46,4.77,44.48054545454546,Normal
20,100.0,231.4405,-243.063,0.9521831788466364,8.57,2.76,5.81,0.4750430292598967,10.5,-58.12,4.77,44.19327272727273,Normal
21,100.0,231.085,-242.652,0.9523309101099516,8.58,2.76,5.82,0.4742268041237112,10.5,-58.55,4.84,44.118545454545455,Normal
22,100.0,230.878,-245.225,0.9414945458252624,8.58,2.75,5.83,0.4716981132075472,10.57,-57.79,4.84,44.026032315978455,Normal
23,100.0,231.399,-245.018,0.9444163285962665,8.57,2.75,5.82,0.4725085910652921,10.44,-58.55,4.77,45.04007352941177,Normal
24,100.0,231.049,-243.434,0.949123787145592,8.57,2.75,5.82,0.4725085910652921,10.44,-57.87,4.77,44.74889705882353,Normal
25,100.0,231.396,-244.5255,0.9463062134623996,8.57,2.76,5.81,0.4750430292598967,10.44,-58.12,4.77,44.94954044117648,Normal
26,100.0,231.2865,-242.5125,0.9537096025978042,8.58,2.76,5.82,0.4742268041237112,10.44,-57.44,4.77,44.57950367647059,Normal
27,100.0,230.8485,-231.2575,0.9982314087110687,8.58,2.75,5.83,0.4716981132075472,10.44,-57.9,4.77,42.51056985294118,Normal
