Breath_num,Max_gap(ms),In_vol(ml),Ex_vol(ml),IE_vol_ratio,Duration(s),In_duration(s),Ex_duration(s),IE_duration_ratio,P_peak,PEEP,Dy_comp,Label
1,100.0,539.456,-581.663,0.9274373649346788,8.58,2.81,5.77,0.4870017331022531,10.76,4.84,100.98315972222224,Normal
2,100.0,539.558,-581.0875,0.9285314173855056,8.57,2.8,5.77,0.4852686308492201,10.76,4.84,100.88324652777776,Normal
3,100.0,538.2935,-579.3995,0.9290541327702216,8.57,2.81,5.76,0.4878472222222222,10.7,4.9,101.64903508771933,Normal
4,100.0,539.5785,-576.9755,0.9351844229087716,8.58,2.81,5.77,0.4870017331022531,10.76,4.84,100.1693576388889,Normal
5,100.0,539.98,-579.591,0.931656978800568,8.57,2.81,5.76,0.4878472222222222,10.76,4.9,100.6234375,Normal
6,100.0,539.898,-577.1695,0.935423649378562,8.58,2.81,5.77,0.4870017331022531,10.76,4.9,100.20303819444445,Normal
7,100.0,539.3775,-576.532,0.9355551816724832,8.58,2.8,5.78,0.4844290657439445,10.76,4.9,100.09236111111112,Normal
8,100.0,539.959,-580.017,0.9309365070334144,8.56,2.8,5.76,0.4861111111111111,10.76,5.03,100.69739583333336,Normal
9,100.0,539.3435,-462.838,1.1652964968304242,8.58,2.81,5.77,0.4870017331022531,10.76,4.84,80.35381944444445,Bronch
10,100.0,540.526,-299.831,1.8027688931431367,8.57,2.81,5.76,0.4878472222222222,8.87,2.1,77.47571059431526,Bronch
11,100.0,539.8465,-180.9535,2.983343787216053,8.58,2.81,5.77,0.4870017331022531,11.22,4.84,29.09220257234726,Bronch
12,100.0,538.3285,-321.5145,1.6743521676316309,8.57,2.81,5.76,0.4878472222222222,10.89,3.86,54.586502546689296,Bronch
13,100.0,538.591,-83.036,6.48623488607351,8.58,2.81,5.77,0.4870017331022531,11.02,4.9,13.793355481727575,Bronch
14,100.0,539.9895,-135.349,3.989608345831887,8.57,2.8,5.77,0.4852686308492201,10.44,5.03,24.88033088235294,Bronch
15,100.0,540.433,-297.7695,1.814937392849167,8.57,2.81,5.76,0.4878472222222222,10.7,4.71,52.240263157894745,Bronch
16,100.0,539.833,-194.6465,2.773402039081103,8.58,2.81,5.77,0.4870017331022531,10.76,4.71,33.79279513888889,Bronch
17,100.0,539.624,-409.6235,1.3173658249587732,8.57,2.8,5.77,0.4852686308492201,12.0,4.71,58.51764285714285,Bronch
18,100.0,540.331,-139.451,3.8747015080565936,8.57,2.81,5.76,0.4878472222222222,9.98,4.45,28.00220883534136,Bronch
19,100.0,540.362,-188.173,2.8716234528864395,8.59,2.81,5.78,0.486159169550173,10.31,4.25,35.43747645951036,Bronch
20,100.0,539.8865,-178.8895,3.017988758423496,8.56,2.8,5.76,0.4861111111111111,10.31,4.32,33.68917137476459,Bronch
21,100.0,540.1115,-36.8465,14.658420745525357,8.58,2.81,5.77,0.4870017331022531,9.85,4.38,7.5972164948453615,Bronch
22,100.0,540.334,-55.3695,9.758693865756417,8.58,2.81,5.77,0.4870017331022531,10.31,4.97,10.427401129943505,Bronch
23,100.0,539.9645,-189.2055,2.8538520286143902,8.57,2.8,5.77,0.4852686308492201,10.96,4.45,31.745889261744964,Bronch
24,100.0,539.5495,-156.1115,3.45618035826957,8.57,2.8,5.77,0.4852686308492201,10.63,4.58,27.728507992895203,Bronch
25,100.0,539.856,-393.395,1.3723001054919357,8.57,2.81,5.76,0.4878472222222222,12.0,4.84,56.19928571428572,Bronch
26,100.0,540.2035,-45.723,11.814699385429652,8.58,2.81,5.77,0.4870017331022531,10.31,4.64,8.610734463276835,Bronch
27,100.0,540.2935,-112.094,4.820003746855318,8.57,2.81,5.76,0.4878472222222222,10.83,4.97,19.227101200686104,Bronch
28,100.0,540.396,-85.447,6.324341404613385,8.57,2.81,5.76,0.4878472222222222,10.18,5.03,16.495559845559846,Bronch
29,100.0,540.262,-82.6155,6.539475037977135,8.59,2.81,5.78,0.486159169550173,10.83,4.58,14.170754716981133,Bronch
30,100.0,540.0625,47.8425,-11.288341955374406,8.56,2.8,5.76,0.4861111111111111,9.65,4.45,-10.288709677419355,Bronch
31,100.0,540.3045,-106.1475,5.090129301208225,8.58,2.81,5.77,0.4870017331022531,7.57,3.01,41.30252918287937,Bronch
32,100.0,540.1425,-498.3205,1.083925907122023,8.57,2.81,5.76,0.4878472222222222,10.76,4.84,86.51397569444444,Bronch
33,100.0,1005.991,-915.1165,1.099303749850429,8.58,2.81,5.77,0.4870017331022531,16.56,4.84,79.16232698961939,Recruitment
34,100.0,1156.2065,-1108.6935,1.0428549459341108,8.57,2.81,5.76,0.4878472222222222,18.96,4.97,79.41930515759313,Recruitment
35,100.0,1156.412,-1066.0005,1.0848137500873591,16.13,10.36,5.77,1.7954939341421143,19.55,5.1,73.26463917525774,InPause
