Breath_num,P_peak,Dy_comp,Label
1,9.92,143.1638211,Normal
2,9.92,142.3773374,Normal
3,9.92,142.0571138,Normal
4,9.92,142.749187,Normal
5,9.92,142.4738821,Normal
6,9.92,143.2594512,Normal
7,9.92,143.9328252,Normal
8,9.92,144.3360772,Normal
9,9.92,142.7158537,Normal
10,9.92,142.7317073,Normal
11,9.92,143.7026423,Normal
12,9.92,143.1674797,Normal
13,9.92,142.6622967,Normal
14,9.92,143.7450203,Normal
15,9.92,143.1809959,Normal
16,9.92,145.6333333,Normal
17,9.85,144.5761856,Normal
18,9.92,144.1688008,Normal
19,9.92,143.0199187,Normal
20,9.92,144.8964431,Normal
21,9.92,144.2214431,Normal
22,9.85,144.8585567,Normal
23,9.85,145.3653608,Normal
24,9.92,142.7958333,Normal
25,9.85,145.12,Normal
26,9.92,142.957622,Normal
27,9.92,142.4568089,Normal
28,9.92,143.514126,Normal
29,9.85,144.1243299,Normal
30,9.85,144.4176289,Normal
31,9.85,143.453299,Normal
32,9.92,143.9795732,Normal
33,9.92,141.454878,Normal
34,9.92,143.4947154,Normal
35,9.85,145.4206186,Normal
36,9.92,143.8111789,Normal
37,9.92,142.4582317,Normal
38,9.92,144.2820122,Normal
39,9.85,144.8787629,Normal
40,9.92,144.7697154,Normal
41,9.85,145.6864948,Normal
42,9.85,147.7071134,Normal
43,9.85,143.1651546,Normal
44,9.92,142.2693089,Normal
45,9.85,143.5334021,Normal
46,9.92,143.6110772,Normal
47,9.85,145.6204124,Normal
48,9.85,146.7312371,Normal
49,9.92,145.2800813,Normal
50,9.92,144.7518293,Normal
51,9.85,144.8993814,Normal
52,9.85,144.0971134,Normal
53,9.85,146.7943299,Normal
54,9.78,145.5584728,Normal
55,9.85,147.2551546,Normal
56,9.85,145.8926804,Normal
57,9.85,146.07,Normal
58,9.85,144.7228866,Normal
59,9.85,146.1905155,Normal
60,9.85,145.3249485,Normal
61,9.85,145.9853608,Normal
62,9.85,146.6771134,Normal
63,9.85,144.7539175,Normal
64,9.85,144.4713402,Normal
65,9.85,146.6772165,Normal
66,9.85,145.1381443,Normal
67,9.85,145.2252577,Normal
68,9.85,145.6654639,Normal
69,9.85,145.4548454,Normal
70,9.78,146.0052301,Normal
71,9.85,144.2758763,Normal
72,9.85,145.5710309,Normal
73,9.85,144.5241237,Normal
74,9.85,144.6010309,Normal
75,9.85,144.3509278,Normal
76,9.85,144.2257732,Normal
77,9.78,146.0269874,Normal
78,9.85,146.4670103,Normal
79,9.78,147.5061715,Normal
80,9.85,144.8221649,Normal
81,9.85,145.9050515,Normal
82,9.85,144.9446392,Normal
83,9.92,142.5161585,Normal
84,9.85,143.4074227,Normal
